Mary Ramsey
Teddy Randazzo
Gregory Raposo
Danny Rapp
Raven-Symoné
Johnnie Ray
Redfoo
"Eli ""Paperboy"" Reed"
Martha Reeves
Morgan Taylor Reid
Blaire Reinhard
Lani Renaldo
J Rice
Don Rich (swamp pop singer)
Dawn Richard
Kevin Richardson (musician)
Lionel Richie
Jessica Riddle
Stefanie Ridel
Billy Lee Riley
Élan Luz Rivera
LaTavia Roberson
Ashley Roberts
Austin Roberts (singer)
Shevyn Roberts
Dawn Robinson
Janice Robinson
Smokey Robinson
Vicki Sue Robinson
Rockwell (musician)
Jimmie Rodgers (pop singer)
Tommy Roe
Christy Carlson Romano
Don Rondo
Katy Rose
Lanny Ross
Autumn Rowe
Billy Joe Royal
Nate Ruess
Jennifer Rush
Debby Ryan
Bobby Rydell
Sabi (singer)
Marlene Sai
Bryana Salaz
Graham Salisbury
Chris Salvatore
Sammie
Samuel (singer)
Paul Sanchez
Kim Sanders
Tommy Sands (American singer)
Peggy Santiglia
Larry Santos
Matthew Santos
Frankie Sardo
Chantay Savage
Oskar Saville
Lynn Carey Saylor
Celeste Stoney
Kendall Schmidt
Libbie Schrader
Jack Scott (singer)
Seals and Crofts
Reggie Sears
Pebe Sebert
Bob Seger
Michael Sembello
Kouros Shahmiri
Shamir (musician)
Bree Sharp
Terri Sharp
Kim Shattuck
Pal Shazar
She Moves
Shealeigh
Duncan Sheik
Vonda Shepard
Shequida
Kriss Sheridan
Troy Shondell
Signs (band)
Paul Simon
Ashlee Simpson
Jessica Simpson
Ray Simpson
Frank Sinatra
Shandi Sinnamon
Bradley Skaught
Sky Blu (rapper)
Helen Slater
Slau
P. F. Sloan
Ray Smith (rockabilly singer)
Rex Smith
Verdelle Smith (singer)
Von Smith
Phoebe Snow
Zach Sobiech
Stella Soleil
Diane Solomon
Sarah Solovay
SoMo
China Soul
Joe South
Tracie Spencer
Vicki Spencer
Teeter Sperber
Jack Splash
Aileen Stanley
Pamala Stanley
Jeffree Star
Becky Stark
Brenda K. Starr
Hailee Steinfeld
Kris Stephens
Ray Stephens (singer)
April Stevens
Amii Stewart
Booboo Stewart
Jermaine Stewart
Warren Storm
Richard Street
Peter Stuart
Ruben Studdard
Amanda Sudano
Alison Sudol
Cree Summer
Gene Summers
John Steven Sutherland
Billy Swan
Jimmy Sweeney
Kelly Sweet
Rachel Sweet
Edmund Sylvers
Foster Sylvers
Sylvester (singer)
Skyla Talon
Norma Tanega
Jem Targal
Doreen Taylor
James Taylor
Jordyn Taylor
Chloe Temtchine
Vienna Teng
Toni Tennille
Tila Tequila
Marc Terenzi
Jennifer Terran
Tammi Terrell
Sonia Tetlow
B. J. Thomas
Rob Thomas (musician)
Sue Thompson
Melanie Thornton
Melody Thornton
Johnny Tillotson
Jeff Timmons
Timmy T
Denyse Tontz
John Torres
John Travolta
Jasmine Trias
Kathy Troccoli
Chris Trousdale
Andrea True
User:SakuraDaEman
Sam Tsui
Zahra Universe
Rory Uphold
Rudy Vallée
Frankie Valli
Mario Vazquez
Bobby Vee
Julian Velard
Jimmy Velvit
Mandy Ventrice
Billy Vera
Jim Verraros
Viguen
Bobby Vinton
Vidya Vox
Kristine W
Jason Wade
Brooke Waggoner
Martha Wainwright
Rufus Wainwright
Butch Walker
Tay Walker
Chris Wallace (musician)
Wang Leehom
Wanz
Anita Ward
Robin Ward (singer)
Tyler Ward
Emily Warren
Template:Dionne Warwick
Crystal Waters
Zak Waters
Jody Watley
Mikey Wax
Jason Weaver
Ryn Weaver
Alison Wedding
Pee Wee (singer)
Killian Wells
Mary Wells
Tyrone Wells
Devon Werkheiser
Karyn White
Matt White (musician)
Maurice White
Matthew Wilder
Tim Wildsmith
Kathleen Wilhoite
Alexa Wilkinson
Andy Williams
Carol Williams (disco musician)
Cunnie Williams
Joseph Williams (musician)
Kiely Williams
Paul Williams (songwriter)
Paul Williams (The Temptations)
Chris Willis
Viola Wills
Carnie Wilson
Wendy Wilson
Angela Winbush
Toni Wine
"Alex Wong (producer, musician)"
Kevin Woo
Anita Wood
Barry Wood (singer)
Brenton Wood
Lauren Wood
Chuck Woolery
Kari Wuhrer
Keke Wyatt
Elliott Yamin
Oren Yoel
Alex York
Barry Young (musician)
Kathy Young
Margaret Young
Kaila Yu
Josie Zec
Regina Zernay Roberts
